x1,x2,y
3.7,8.69,18.68
3.71,8.7,18.72
3.72,8.71,18.77
3.73,8.72,18.82
3.74,8.73,18.86
3.75,8.74,18.91
3.76,8.75,18.95
3.77,8.76,19.0
3.78,8.77,19.04
3.79,8.78,19.09
3.8,8.79,19.14
3.81,8.8,19.18
3.82,8.81,19.23
3.83,8.82,19.27
3.84,8.83,19.32
3.85,8.84,19.36
3.86,8.85,19.41
3.87,8.86,19.45
3.88,8.87,19.5
3.89,8.88,19.54
3.9,8.89,19.58
3.91,8.9,19.63
3.92,8.91,19.67
3.93,8.92,19.72
3.94,8.93,19.76
3.95,8.94,19.81
3.96,8.95,19.85
3.97,8.96,19.9
3.98,8.97,19.94
3.99,8.98,19.98
4.0,8.99,20.03
4.01,9.0,20.07
4.02,9.01,20.11
4.03,9.02,20.16
4.04,9.03,20.2
4.05,9.04,20.25
4.06,9.05,20.29
4.07,9.06,20.33
4.08,9.07,20.38
4.09,9.08,20.42
4.1,9.09,20.46
4.11,9.1,20.5
4.12,9.11,20.55
4.13,9.12,20.59
4.14,9.13,20.63
4.15,9.14,20.68
4.16,9.15,20.72
4.17,9.16,20.76
4.18,9.17,20.8
4.19,9.18,20.85
4.2,9.19,20.89
4.21,9.2,20.93
4.22,9.21,20.97
4.23,9.22,21.02
4.24,9.23,21.06
4.25,9.24,21.1
4.26,9.25,21.14
4.27,9.26,21.19
4.28,9.27,21.23
4.29,9.28,21.27
4.3,9.29,21.31
4.31,9.3,21.35
4.32,9.31,21.39
4.33,9.32,21.44
4.34,9.33,21.48
4.35,9.34,21.52
4.36,9.35,21.56
4.37,9.36,21.6
4.38,9.37,21.64
4.39,9.38,21.68
4.4,9.39,21.73
4.41,9.4,21.77
4.42,9.41,21.81
4.43,9.42,21.85
4.44,9.43,21.89
4.45,9.44,21.93
4.46,9.45,21.97
4.47,9.46,22.01
4.48,9.47,22.05
4.49,9.48,22.09
4.5,9.49,22.14
4.51,9.5,22.18
4.52,9.51,22.22
4.53,9.52,22.26
4.54,9.53,22.3
4.55,9.54,22.34
4.56,9.55,22.38
4.57,9.56,22.42
4.58,9.57,22.46
4.59,9.58,22.5
4.6,9.59,22.54
4.61,9.6,22.58
4.62,9.61,22.62
4.63,9.62,22.66
4.64,9.63,22.7
4.65,9.64,22.74
4.66,9.65,22.78
4.67,9.66,22.82
4.68,9.67,22.86
4.69,9.68,22.9
4.7,9.69,22.94
4.71,9.7,22.98
4.72,9.71,23.02
4.73,9.72,23.06
4.74,9.73,23.09
4.75,9.74,23.13
4.76,9.75,23.17
4.77,9.76,23.21
4.78,9.77,23.25
4.79,9.78,23.29
4.8,9.79,23.33
4.81,9.8,23.37
4.82,9.81,23.41
4.83,9.82,23.45
4.84,9.83,23.48
4.85,9.84,23.52
4.86,9.85,23.56
4.87,9.86,23.6
4.88,9.87,23.64
4.89,9.88,23.68
4.9,9.89,23.72
4.91,9.9,23.76
4.92,9.91,23.79
4.93,9.92,23.83
4.94,9.93,23.87
4.95,9.94,23.91
4.96,9.95,23.95
4.97,9.96,23.98
4.98,9.97,24.02
4.99,9.98,24.06
5.0,9.99,24.1
